Date,TV,Radio,Newspaper,Sales, sales_Prediction_knn , sales_Prediction_rf , sales_Prediction_lr 
01-01-2015,230.1,37.8,69.2,22.1,22.1,21.49,20.43
08-01-2015,44.5,39.3,45.1,10.4,10.46,10.56,12.33
15-01-2015,17.2,45.9,69.3,9.3,10.41,8.57,12.18
22-01-2015,151.5,41.3,58.5,18.5,19.6,18.81,17.55
29-01-2015,180.8,10.8,58.4,12.9,14.03,13.59,13.14
05-02-2015,8.7,48.9,75,7.2,10.41,7.04,12.32
12-02-2015,57.5,32.8,23.5,11.8,10.32,11.46,11.83
19-02-2015,120.2,19.6,11.6,13.2,13,12.87,12.29
26-02-2015,8.6,2.1,1,4.8,7.75,4.98,3.93
05-03-2015,199.8,2.6,21.2,10.6,11.92,11.1,12.69
12-03-2015,66.1,5.8,24.2,8.6,8.76,8.96,7.13
19-03-2015,214.7,24,4,17.4,17.38,16.9,17.51
26-03-2015,23.8,35.1,65.9,9.2,10.23,8.94,10.47
02-04-2015,97.5,7.6,7.2,9.7,10.19,9.78,9.01
09-04-2015,204.1,32.9,46,19,18.89,18.91,18.45
16-04-2015,195.4,47.7,52.9,22.4,21.88,22.46,20.8
23-04-2015,67.8,36.6,114,12.5,13.27,12.55,12.49
30-04-2015,281.4,39.6,55.8,24.4,23.64,23.86,23.21
07-05-2015,69.2,20.5,18.3,11.3,9.7,11.24,10.08
14-05-2015,147.3,23.9,19.1,14.6,15.09,14.82,14.3
21-05-2015,218.4,27.7,53.4,18,17.59,18.31,18.09
28-05-2015,237.4,5.1,23.5,12.5,11.92,12.45,14.87
04-06-2015,13.2,15.9,49.6,5.6,8.02,5.93,6.46
11-06-2015,228.3,16.9,26.2,15.5,15.72,15.48,16.66
18-06-2015,62.3,12.6,18.3,9.7,9.42,9.71,8.27
25-06-2015,262.9,3.5,19.5,12,12.21,12.07,15.77
02-07-2015,142.9,29.3,12.6,15,15.54,15.32,15.16
09-07-2015,240.1,16.7,22.9,15.9,15.82,15.58,17.19
16-07-2015,248.8,27.1,22.9,18.9,17.88,18.62,19.55
23-07-2015,70.6,16,40.8,10.5,9.8,11.34,9.16
30-07-2015,292.9,28.3,43.2,21.4,20.31,21.07,21.68
06-08-2015,112.9,17.4,38.6,11.9,12.04,12.57,11.38
13-08-2015,97.2,1.5,30,9.6,9.47,9.57,7.72
20-08-2015,265.6,20,0.3,17.4,17.34,16.18,19.11
27-08-2015,95.7,1.4,7.4,9.5,9.93,9.52,7.76
03-09-2015,290.7,4.1,8.5,12.8,12.53,12.43,17.22
10-09-2015,266.9,43.8,5,25.4,21.31,25.16,23.63
17-09-2015,74.7,49.4,45.7,14.7,13.3,14.23,15.62
24-09-2015,43.1,26.7,35.1,10.1,9.43,10.05,9.95
01-10-2015,228,37.7,32,21.5,20.15,21.22,20.54
08-10-2015,202.5,22.3,31.6,16.6,16.26,16.71,16.46
15-10-2015,177,33.4,38.7,17.1,18.65,17.44,17.34
22-10-2015,293.6,27.7,1.8,20.7,19.63,20.43,21.84
29-10-2015,206.9,8.4,26.4,12.9,12.72,12.93,14.08
05-11-2015,25.1,25.7,43.3,8.5,8.76,8.35,8.89
12-11-2015,175.1,22.5,31.5,14.9,14.91,15.25,15.24
19-11-2015,89.7,9.9,35.7,10.6,10.51,10.3,8.92
26-11-2015,239.9,41.5,18.5,23.2,21.49,23.39,21.88
03-12-2015,227.2,15.8,49.9,14.8,15.21,15.07,16.27
10-12-2015,66.9,11.7,36.8,9.7,9.37,9.79,8.21
17-12-2015,199.8,3.1,34.6,11.4,11.77,11.44,12.7
24-12-2015,100.4,9.6,3.6,10.7,10.8,10.53,9.54
31-12-2015,216.4,41.7,39.6,22.6,21.4,22.44,20.71
07-01-2016,182.6,46.2,58.7,21.2,21.1,21.2,19.9
14-01-2016,262.7,28.8,15.9,20.2,18.99,20.24,20.55
21-01-2016,198.9,49.4,60,23.7,22.17,23.15,21.24
28-01-2016,7.3,28.1,41.4,5.5,8.75,5.77,8.53
04-02-2016,136.2,19.2,16.6,13.2,13.62,13.19,12.92
11-02-2016,210.8,49.6,37.7,23.8,22.87,23.18,21.96
18-02-2016,210.7,29.5,9.3,18.4,18.32,18.47,18.33
25-02-2016,53.5,2,21.4,8.1,8.09,8.25,5.85
03-03-2016,261.3,42.7,54.7,24.2,24.07,24.55,22.88
10-03-2016,239.3,15.5,27.3,15.7,14.87,15.63,16.9
17-03-2016,102.7,29.6,8.4,14,14.46,13.48,13.39
24-03-2016,131.1,42.8,28.9,18,16.83,17.49,17.06
31-03-2016,69,9.3,0.9,9.3,9.98,9.62,8.06
07-04-2016,31.5,24.6,2.2,9.5,9.03,8.89,9.21
14-04-2016,139.3,14.5,10.2,13.4,12.31,13.07,12.22
21-04-2016,237.4,27.5,11,18.9,18.41,19.11,19.17
28-04-2016,216.8,43.9,27.2,22.3,21.57,22.18,21.22
05-05-2016,199.1,30.6,38.7,18.3,18.39,18.45,17.83
12-05-2016,109.8,14.3,31.7,12.4,11.03,12.19,10.7
19-05-2016,26.8,33,19.3,8.8,9.16,8.54,10.48
26-05-2016,129.4,5.7,31.3,11,10.8,11.52,9.98
02-06-2016,213.4,24.6,13.1,17,17.34,16.9,17.51
09-06-2016,16.9,43.7,89.4,8.7,11.3,8.53,11.64
16-06-2016,27.5,1.6,20.7,6.9,7.76,7.12,4.59
23-06-2016,120.5,28.5,14.2,14.2,15.01,14.25,13.97
30-06-2016,5.4,29.9,9.4,5.3,9.28,4.94,8.97
07-07-2016,116,7.7,23.1,11,10.87,11.34,9.79
14-07-2016,76.4,26.7,22.3,11.8,11.21,11.93,11.56
21-07-2016,239.8,4.1,36.9,12.3,12.74,12.13,14.72
28-07-2016,75.3,20.3,32.5,11.3,10.77,11.48,10.24
04-08-2016,68.4,44.5,35.6,13.6,11.76,13.41,14.47
11-08-2016,213.5,43,33.8,21.7,21.48,21.99,20.86
18-08-2016,193.2,18.4,65.7,15.2,17.01,15.04,15.1
25-08-2016,76.3,27.5,16,12,12.09,12.05,11.74
01-09-2016,110.7,40.6,63.2,16,14.69,15.25,15.51
08-09-2016,88.3,25.5,73.4,12.9,14.35,12.57,11.58
15-09-2016,109.8,47.8,51.4,16.7,16.37,15.52,16.9
22-09-2016,134.3,4.9,9.3,11.2,11.24,11.29,10.18
29-09-2016,28.6,1.5,33,7.3,7.87,7.26,4.55
06-10-2016,217.7,33.5,59,19.4,19.65,19.24,19.11
13-10-2016,250.9,36.5,72.3,22.2,21.95,21.71,21.13
20-10-2016,107.4,14,10.9,11.5,11.21,11.78,10.65
27-10-2016,163.3,31.6,52.9,16.9,17.48,17.07,16.29
03-11-2016,197.6,3.5,5.9,11.7,11.89,11.64,12.85
10-11-2016,184.9,21,22,15.5,15.8,15.3,15.47
17-11-2016,289.7,42.3,51.2,25.4,23.68,25.15,24.12
24-11-2016,135.2,41.7,45.9,17.2,17.71,17.85,16.95
01-12-2016,222.4,4.3,49.8,11.7,12.89,11.86,13.88
08-12-2016,296.4,36.3,100.9,23.8,21.74,22.19,23.01
15-12-2016,280.2,10.1,21.4,14.8,13.72,14.04,17.79
22-12-2016,187.9,17.2,17.9,14.7,15.05,14.86,14.91
29-12-2016,238.2,34.3,5.3,20.7,20.2,20.27,20.52
05-01-2017,137.9,46.4,59,19.2,18.16,18.56,17.88
12-01-2017,25,11,29.7,7.2,7.88,7.17,6.19
19-01-2017,90.4,0.3,23.2,8.7,8.75,9.28,7.22
26-01-2017,13.1,0.4,25.6,5.3,7.64,5.82,3.67
02-02-2017,255.4,26.9,5.5,19.8,18.75,18.14,19.91
09-02-2017,225.8,8.2,56.5,13.4,14.09,13.27,14.73
16-02-2017,241.7,38,23.2,21.8,20.52,22.13,21.27
23-02-2017,175.7,15.4,2.4,14.1,13.69,14.39,14.1
02-03-2017,209.6,20.6,10.7,15.9,16.33,16.04,16.59
09-03-2017,78.2,46.8,34.5,14.6,13,14.21,15.36
16-03-2017,75.1,35,52.7,12.6,11.05,12.77,12.88
23-03-2017,139.2,14.3,25.6,12.2,13.24,12.66,12.08
30-03-2017,76.4,0.8,14.8,9.4,8.94,9.35,6.72
